2,3,4,7,11,25,29,Janeiro
7,8,14,21,23,26,30,Janeiro
7,12,14,22,24,30,31,Setembro
1,6,7,19,25,27,31,Setembro
5,9,12,15,24,27,28,Setembro
14,20,23,24,26,27,31,Novembro
2,17,19,20,24,28,31,Fevereiro
8,15,17,19,23,27,31,Setembro
4,6,7,15,17,20,21,Março
2,5,9,10,11,13,24,Julho
1,4,14,17,23,24,27,Maio
16,18,19,21,26,29,31,Junho
1,6,11,13,23,25,31,Novembro
5,7,9,13,18,21,30,Novembro
6,7,19,24,27,28,31,Junho
6,9,11,14,19,22,25,Agosto
1,5,9,10,14,16,25,Setembro
2,3,10,13,17,24,31,Setembro
7,9,20,23,25,27,31,Outubro
3,8,11,17,19,21,26,Agosto
3,8,11,13,23,24,30,Outubro
4,8,10,14,20,27,29,Fevereiro
2,11,17,20,28,30,31,Março
3,6,9,12,16,21,22,Março
4,9,10,12,13,19,21,Janeiro
3,4,8,11,19,26,27,Janeiro
6,12,14,16,18,27,31,Setembro
10,14,16,24,28,30,31,Janeiro
10,14,17,20,25,27,29,Outubro
4,5,12,13,16,25,26,Fevereiro
1,10,11,15,19,20,22,Agosto
4,5,7,11,13,18,30,Dezembro
1,2,9,14,16,25,29,Novembro
4,9,11,25,26,29,30,Abril
1,3,5,7,20,22,29,Março
3,4,6,7,10,24,31,Setembro
6,12,17,19,21,23,31,Novembro
2,7,15,19,20,23,24,Abril
2,3,7,10,20,30,31,Agosto
7,8,9,10,12,14,30,Abril
1,2,14,17,23,25,26,Agosto
8,14,16,21,25,30,31,Agosto
1,2,5,8,15,24,25,Maio
6,13,19,21,23,27,28,Março
3,4,10,18,22,24,28,Outubro
5,7,10,11,13,17,23,Setembro
1,12,17,25,26,28,29,Fevereiro
5,16,23,25,27,28,29,Agosto
2,4,7,9,15,22,26,Março
2,6,15,18,21,22,23,Julho
5,10,11,20,22,29,31,Setembro
4,6,7,14,15,22,31,Junho
2,3,6,9,10,15,26,Maio
2,9,11,16,22,24,30,Março
10,13,17,20,22,26,28,Junho
14,15,16,17,22,24,29,Dezembro
5,15,17,22,26,28,31,Junho
3,7,14,21,24,26,27,Março
11,13,18,21,23,25,27,Agosto
1,11,12,13,17,29,31,Outubro
7,9,10,13,20,22,25,Março
4,8,9,13,20,23,30,Dezembro
3,8,9,20,21,23,27,Março
5,10,21,25,26,29,31,Abril
2,4,19,20,23,26,27,Dezembro
3,11,12,16,24,29,31,Setembro
4,6,11,15,19,21,22,Agosto
10,15,16,17,19,21,30,Outubro
12,20,21,22,24,26,28,Junho
6,15,17,22,23,26,29,Março
17,19,23,25,26,29,31,Novembro
6,11,14,15,17,19,21,Janeiro
3,6,7,12,15,23,28,Janeiro
2,11,12,13,14,18,30,Outubro
3,7,10,19,29,30,31,Maio
1,4,5,12,14,22,27,Julho
10,11,13,19,25,27,30,Outubro
6,9,14,20,21,22,25,Dezembro
3,4,5,15,25,27,29,Fevereiro
3,4,6,11,23,24,26,Setembro
1,2,10,15,22,23,28,Março
4,12,13,16,19,22,31,Julho
6,8,20,21,24,28,29,Dezembro
9,16,20,22,24,28,30,Julho
5,11,12,15,18,22,26,Agosto
4,8,9,11,18,19,26,Junho
7,16,20,23,24,25,26,Novembro
2,10,17,25,26,28,29,Outubro
2,10,18,19,24,26,27,Janeiro
6,8,19,20,22,23,29,Setembro
14,15,17,21,24,25,31,Abril
5,7,8,13,22,26,30,Maio
1,2,17,23,24,25,31,Abril
1,7,11,25,26,29,31,Março
2,7,8,11,12,20,30,Fevereiro
1,5,8,10,11,13,27,Agosto
4,7,16,17,20,27,28,Junho
1,5,9,10,23,24,25,Janeiro
3,8,10,11,14,23,24,Junho
1,6,7,20,21,27,30,Abril
4,8,11,13,23,26,28,Abril
1,3,5,10,13,14,26,Abril
3,5,12,14,19,24,28,Outubro
5,10,13,16,18,20,22,Agosto
6,8,9,14,15,18,25,Agosto
7,8,23,26,29,30,31,Fevereiro
7,10,11,17,23,24,29,Março
2,6,9,17,18,19,22,Março
11,14,17,20,23,25,27,Dezembro
4,9,13,15,21,23,25,Setembro
1,10,15,16,22,24,29,Agosto
7,8,19,20,21,24,26,Julho
3,6,14,18,24,27,30,Maio
1,9,24,25,27,29,30,Agosto
4,9,12,19,20,26,28,Abril
7,13,21,22,26,29,31,Janeiro
4,9,12,13,15,26,27,Novembro
3,10,14,17,28,29,30,Dezembro
6,11,14,16,18,28,30,Dezembro
5,7,8,14,15,22,28,Fevereiro
1,10,13,14,16,22,30,Novembro
9,10,19,22,26,27,28,Julho
1,7,9,11,22,25,26,
9,12,16,19,24,28,29,Outubro
2,9,15,22,24,29,30,Abril
1,3,9,16,17,21,22,Abril
6,7,9,10,13,14,21,Abril
2,5,10,11,12,18,19,Junho
10,11,16,20,21,23,28,Janeiro
4,8,14,15,16,24,27,Janeiro
3,11,12,13,20,24,30,Fevereiro
4,8,9,10,20,25,28,Agosto
1,2,16,23,24,25,30,Janeiro
5,13,15,16,18,25,30,Ji-Paraná/RO
1,4,7,10,15,25,31,Janeiro
11,18,22,27,28,29,30,Novembro
10,15,16,17,24,25,31,Novembro
3,14,15,17,20,21,22,Abril
3,4,8,9,16,24,31,Janeiro
10,13,14,15,20,23,29,Abril
4,6,13,18,21,22,27,Março
1,4,5,9,10,22,30,…
4,5,10,12,14,19,24,Outubro
3,7,13,20,25,27,28,Novembro
1,4,5,19,22,23,24,Novembro
2,3,5,7,10,17,20,Novembro
5,12,13,18,21,23,29,Fevereiro
2,4,14,17,19,21,30,Fevereiro
7,11,16,21,23,28,30,Janeiro
10,14,15,16,18,24,30,Outubro
4,5,19,23,28,29,30,Fevereiro
10,15,17,18,21,22,23,Agosto
1,3,4,5,18,22,25,Agosto
2,8,17,20,21,22,24,Maio
7,8,16,22,23,25,31,Novembro
5,7,9,14,24,26,31,Maio
2,3,10,13,17,24,28,Junho
3,7,10,13,24,25,28,Novembro
5,8,13,21,22,24,26,Setembro
2,3,10,13,21,22,31,Agosto
4,5,15,16,18,27,30,Agosto
7,10,12,14,24,27,28,Novembro
2,3,4,6,8,10,30,Março
3,11,12,19,20,26,28,Novembro
3,5,6,10,12,16,21,Fevereiro
7,15,17,20,21,24,29,Julho
1,2,3,4,24,27,28,Março
1,4,6,9,26,27,31,Junho
2,3,14,16,17,21,29,Março
1,2,6,9,13,20,30,Outubro
1,3,10,14,17,30,31,Dezembro
2,3,14,16,17,20,27,Novembro
13,15,22,23,25,30,31,Dezembro
9,18,19,21,23,27,30,Dezembro
4,5,17,18,20,27,28,Junho
5,8,9,18,23,26,31,Abril
5,8,10,12,18,24,31,Junho
6,9,10,13,21,26,29,Setembro
1,2,3,9,13,24,30,Julho
5,12,17,19,21,24,28,Maio
1,5,12,16,27,30,31,Dezembro
3,11,23,24,25,28,30,Julho
18,20,21,22,25,27,31,FEvereiro
4,12,14,19,23,28,29,Abril
4,9,12,19,25,28,31,Dezembro
5,11,14,18,20,27,31,Março
1,5,10,14,15,29,30,Dezembro
3,8,12,20,21,27,29,Setembro
2,5,14,16,17,18,22,Junho
2,9,10,12,17,25,28,Agosto
9,10,14,16,18,19,24,Maio
1,5,7,14,21,30,31,Maio
1,6,12,13,15,16,29,Dezembro
2,4,8,13,14,17,22,Fevereiro
2,3,5,9,16,19,25,Fevereiro
3,5,6,12,20,23,31,Julho
1,4,8,13,19,22,25,Outubro
5,13,15,23,27,29,30,Agosto
1,2,10,19,24,26,28,Agosto
3,6,14,18,19,29,31,Agosto
4,5,6,9,11,19,23,Abril
13,17,18,19,22,27,29,AGOSTO
4,5,13,17,23,24,29,Dezembro
3,6,7,16,22,23,28,Dezembro
4,5,6,12,15,16,26,Novembro
4,10,12,13,14,24,26,Fevereiro
5,8,12,18,24,27,29,Maio
9,13,15,21,25,27,30,Junho
4,10,14,18,21,22,23,Dezembro
2,11,12,15,17,20,25,Junho
1,4,8,12,22,24,28,Fevereiro
1,7,12,14,22,24,26,Abril
1,6,8,14,17,19,23,Março
3,4,10,11,14,19,28,Dezembro
3,12,13,16,18,19,27,Abril
3,6,7,9,15,27,31,Dezembro
2,4,9,17,19,25,31,Fevereiro
3,6,10,16,17,25,28,Março
2,3,11,12,17,18,21,Setembro
2,6,16,17,18,20,26,Setembro
5,8,9,14,25,28,30,Agosto
4,7,11,13,15,18,25,Junho
2,9,11,13,21,28,29,Maio
6,9,10,18,21,24,26,Setembro
5,11,14,17,18,26,30,Outubro
1,5,13,24,26,27,29,Maio
7,10,18,19,20,23,27,Dezembro
5,7,14,17,19,23,29,Agosto
2,4,17,21,28,29,31,Outubro
1,5,8,10,12,25,28,Julho
13,16,21,23,24,27,28,Dezembro
5,6,9,17,19,20,23,Maio
2,11,20,21,27,28,31,Junho
2,3,7,10,15,17,20,Dezembro
5,6,7,11,21,26,29,Setembro
2,7,9,13,14,16,29,Junho
10,12,13,17,21,23,27,Fevereiro
2,15,20,21,22,23,24,Julho
1,2,9,10,16,23,28,Janeiro
1,2,4,11,17,18,28,Abril
4,13,14,22,26,29,30,Agosto
2,3,5,14,15,22,23,Fevereiro
3,4,7,9,15,21,23,Janeiro
12,13,16,25,28,30,31,Julho
4,11,14,15,18,28,31,Dezembro
3,4,11,24,26,28,29,Outubro
3,4,5,6,14,16,27,Julho
2,7,13,16,18,20,29,Novembro
8,12,21,23,24,26,28,Maio
1,3,6,15,17,23,26,Outubro
6,15,17,22,23,26,27,Setembro
7,11,18,21,24,28,29,Junho
6,9,10,14,16,17,22,Agosto
5,7,16,17,21,24,27,Novembro
2,3,7,15,22,26,31,Outubro
6,8,10,15,17,26,28,Agosto
5,13,20,21,23,25,30,Novembro
3,4,5,11,21,24,30,Outubro
2,3,4,9,12,23,24,Setembro
3,11,17,18,24,25,28,Outubro
3,4,6,9,10,18,29,Junho
4,6,7,17,21,26,31,Dezembro
3,5,6,7,17,19,25,Fevereiro
2,7,11,13,25,27,28,Abril
3,6,10,21,25,27,30,Outubro
3,7,11,18,20,23,29,Dezembro
1,9,10,11,15,20,21,Junho
9,11,14,18,24,26,29,Outubro
1,3,4,20,23,25,26,Março
10,11,12,13,15,20,26,Agosto
6,7,11,19,22,23,25,Setembro
4,5,7,8,11,19,24,Fevereiro
7,10,12,13,17,21,22,Setembro
7,10,16,18,24,25,27,Dezembro
6,10,11,14,20,24,25,Julho
2,3,5,14,15,20,25,Dezembro
4,8,9,12,13,25,30,Novembro
1,10,14,17,23,28,31,Outubro
7,14,20,23,27,28,29,Março
2,10,17,18,20,25,29,Dezembro
1,3,7,15,16,29,31,Abril
3,13,15,16,25,27,28,Maio
3,5,9,14,21,29,30,Dezembro
2,13,21,23,25,29,30,Junho
1,3,5,10,14,25,31,Julho
3,11,13,17,22,29,31,Novembro
1,2,7,16,17,26,29,Agosto
3,16,20,21,25,26,30,Agosto
7,9,11,18,21,22,29,Setembro
2,3,6,8,9,22,27,Janeiro
1,8,9,17,18,19,23,Março
2,3,6,10,11,13,15,Dezembro
2,4,7,8,13,15,27,Novembro
5,10,11,15,22,29,31,Janeiro
6,11,18,21,23,29,30,Junho
2,7,9,15,23,25,30,Julho
5,8,9,12,14,17,22,Março
3,4,11,13,18,19,22,Julho
9,13,15,17,21,27,29,Junho
3,5,6,8,16,19,28,Dezembro
17,19,20,21,23,27,30,Março
2,5,6,11,25,27,28,Janeiro
1,2,8,10,14,16,18,…
1,4,8,10,20,22,31,Março
3,11,14,18,19,23,26,Outubro
4,5,11,22,26,27,30,Março
5,8,10,20,23,25,28,Janeiro
6,12,13,15,16,28,29,Outubro
2,7,8,15,19,20,22,Maio
1,5,7,9,17,21,22,Maio
9,11,14,18,24,27,29,Agosto
1,8,12,13,17,26,30,Dezembro
12,15,20,21,22,24,27,Novembro
6,11,16,18,19,21,23,Agosto
12,13,14,15,16,23,31,Abril
3,9,10,12,14,19,24,Julho
2,8,16,21,22,27,28,Fevereiro
2,3,6,12,24,25,28,Novembro
2,5,7,9,15,22,30,Outubro
5,7,9,16,18,20,27,Outubro
2,5,12,16,18,24,30,Março
7,8,13,16,18,21,22,Fevereiro
7,8,9,23,26,29,31,Novembro
6,9,10,12,17,27,30,Maio
11,13,18,21,24,25,26,Dezembro
1,6,8,14,17,21,26,Fevereiro
4,8,10,11,14,18,26,Março
3,18,20,23,24,26,28,Julho
2,6,15,17,22,24,25,Novembro
4,7,13,15,18,20,23,Junho
5,8,17,20,25,26,28,Dezembro
3,7,8,12,21,24,29,Agosto
3,13,20,25,26,27,30,Dezembro
4,5,19,23,25,26,31,Janeiro
4,7,10,19,22,26,28,Maio
4,5,9,13,19,20,29,Dezembro
3,4,8,15,16,20,21,Maio
4,14,20,27,28,29,30,Março
1,3,7,12,26,27,28,Setembro
1,10,12,22,23,25,28,Novembro
3,4,9,15,17,28,29,Maio
5,7,8,18,20,23,28,Julho
7,10,13,15,19,23,26,Setembro
1,8,9,16,21,23,30,Agosto
5,7,8,9,15,26,29,Dezembro
8,10,15,16,23,28,29,Abril
1,5,6,8,12,23,26,Maio
3,6,16,18,19,24,31,Julho
3,4,17,18,19,23,27,Maio
7,9,10,15,18,21,22,Janeiro
3,6,8,9,11,19,26,Fevereiro
3,7,21,22,23,26,31,Junho
7,10,15,16,18,19,24,Maio
2,9,10,13,15,21,26,Maio
2,9,10,13,16,17,22,Abril
6,10,12,25,26,27,29,Fevereiro
2,3,4,10,18,19,28,Junho
1,8,10,12,15,21,28,Setembro
4,6,8,13,14,19,23,Outubro
6,7,11,12,14,19,21,Setembro
10,15,16,21,25,26,29,Outubro
2,3,6,14,28,30,31,Janeiro
6,12,15,17,20,23,29,Junho
8,9,10,11,14,18,23,Agosto
1,2,6,8,9,18,21,Abril
4,6,7,8,24,27,31,Setembro
2,4,5,9,11,28,29,Dezembro
1,3,5,6,8,26,29,Julho
1,4,6,14,20,21,27,Janeiro
1,4,8,14,19,22,26,Outubro
4,6,10,11,12,17,24,Setembro
7,20,21,27,28,30,31,Fevereiro
5,6,8,17,18,20,27,Janeiro
2,3,6,9,27,28,29,Agosto
7,11,13,18,23,28,30,Dezembro
5,8,10,13,19,25,28,Abril
1,6,7,8,17,18,22,Outubro
3,4,5,8,10,24,25,Outubro
11,12,13,24,25,29,30,Agosto
3,5,10,12,18,26,28,Outubro
9,10,15,16,17,23,31,Dezembro
1,8,16,18,22,25,28,Outubro
4,11,18,21,24,25,27,Agosto
3,7,16,18,19,25,30,Abril
7,12,14,20,22,24,26,Setembro
2,8,10,14,16,24,28,Setembro
14,16,17,18,22,23,31,Setembro
4,11,16,17,20,23,31,Janeiro
6,8,10,17,23,29,31,Abril
5,7,13,15,16,20,22,Setembro
1,4,5,8,10,16,30,Agosto
2,5,7,12,15,29,30,Setembro
7,9,15,23,26,30,31,Junho
4,7,17,18,27,28,31,Abril
6,11,14,16,17,29,31,Junho
7,12,23,25,27,30,31,Dezembro
2,10,12,14,19,21,27,Setembro
4,5,6,9,13,25,30,Março
8,15,17,18,26,29,30,Julho
2,7,12,16,18,22,23,Janeiro
2,7,11,12,13,16,27,Junho
3,7,11,12,17,22,23,Novembro
6,12,15,18,23,27,29,Dezembro
3,10,12,13,23,28,31,Setembro
3,4,7,16,18,20,27,Março
4,6,7,9,11,24,28,Junho
4,8,9,17,20,27,30,Novembro
3,5,13,21,22,24,27,Fevereiro
2,9,12,15,18,20,24,Novembro
6,12,15,17,20,23,28,Fevereiro
2,8,10,11,16,20,28,Agosto
1,10,13,17,21,25,29,Julho
7,8,12,15,16,18,30,Outubro
9,10,17,19,25,27,28,Maio
2,4,5,12,18,22,27,Julho
2,8,10,11,12,18,31,Março
6,12,17,21,26,29,31,Outubro
3,4,9,12,14,28,29,Outubro
4,7,8,14,21,27,31,Junho
9,11,13,14,19,20,22,Junho
1,2,7,12,16,20,25,Outubro
8,11,13,16,26,28,29,Novembro
1,8,16,20,21,26,31,Novembro
1,4,7,9,20,21,26,Abril
2,3,7,12,17,21,22,Setembro
7,13,16,19,20,27,31,Setembro
6,10,13,18,19,20,30,Agosto
3,10,13,18,19,23,24,Agosto
1,4,13,21,22,24,27,Setembro
2,5,6,14,20,24,25,Janeiro
1,11,18,19,26,30,31,Fevereiro
2,8,9,17,19,24,28,Dezembro
6,7,13,15,18,19,29,Janeiro
11,12,21,24,25,28,29,Abril
8,11,12,14,20,21,28,Dezembro
3,5,8,9,19,21,30,Fevereiro
